homeId,awayId,homeScore,awayScore,matchResults,matchAction,gameStartTime
1058,254,93,85,WIN,GAME SUMMARY,2022-07-14T03:00:00.000+00:00
1058,1310,76,85,LOSS,GAME SUMMARY,2022-07-13T19:00:00.000+00:00
1058,1187,96,81,WIN,GAME SUMMARY,2022-07-13T03:00:00.000+00:00
1058,491,86,84,WIN,GAME SUMMARY,2022-07-12T19:00:00.000+00:00
1058,1732,80,74,WIN,GAME SUMMARY,2022-07-12T03:00:00.000+00:00
1058,395,86,57,WIN,GAME SUMMARY,2022-07-11T19:00:00.000+00:00
1728,1058,81,76,LOSS,GAME SUMMARY,2022-07-09T17:00:00.000+00:00
1058,1762,91,99,LOSS,GAME SUMMARY,2022-07-09T03:00:00.000+00:00
1058,1320,97,77,WIN,GAME SUMMARY,2022-07-08T19:00:00.000+00:00
1058,68,63,53,WIN,GAME SUMMARY,2022-07-08T03:00:00.000+00:00
1775,1058,74,98,WIN,GAME SUMMARY,2022-07-07T19:00:00.000+00:00
1088,1058,74,89,WIN,GAME SUMMARY,2022-07-07T03:00:00.000+00:00
181,1058,74,98,WIN,GAME SUMMARY,2022-07-06T19:00:00.000+00:00
1728,1058,95,79,LOSS,GAME SUMMARY,2022-07-06T03:00:00.000+00:00
1058,1762,77,82,LOSS,GAME SUMMARY,2022-07-05T19:00:00.000+00:00
1058,1320,96,92,WIN,GAME SUMMARY,2022-07-05T03:00:00.000+00:00
1058,68,62,69,LOSS,GAME SUMMARY,2022-07-04T19:00:00.000+00:00
1356,106,66,90,WIN,GAME SUMMARY,2022-07-10T17:00:00.000+00:00
1403,106,62,59,LOSS,GAME SUMMARY,2022-07-09T17:00:00.000+00:00
761,106,71,86,WIN,GAME SUMMARY,2022-07-09T03:00:00.000+00:00
106,403,76,78,LOSS,GAME SUMMARY,2022-07-08T19:00:00.000+00:00
106,625,72,57,WIN,GAME SUMMARY,2022-07-08T03:00:00.000+00:00
106,1110,59,64,LOSS,GAME SUMMARY,2022-07-07T19:00:00.000+00:00
1210,106,65,64,LOSS,GAME SUMMARY,2022-07-07T03:00:00.000+00:00
1356,106,106,86,LOSS,GAME SUMMARY,2022-07-06T19:00:00.000+00:00
1403,106,68,56,LOSS,GAME SUMMARY,2022-07-06T03:00:00.000+00:00
761,106,82,81,LOSS,GAME SUMMARY,2022-07-05T19:00:00.000+00:00
106,403,74,82,LOSS,GAME SUMMARY,2022-07-05T03:00:00.000+00:00
106,625,73,99,LOSS,GAME SUMMARY,2022-07-04T19:00:00.000+00:00
106,1131,71,82,LOSS,GAME SUMMARY,2022-07-03T17:00:00.000+00:00
106,612,80,78,WIN,GAME SUMMARY,2022-07-02T17:00:00.000+00:00
